date,AAPL,Return,42d,252d,512d
2007-12-10,194.21,-0.0004633085460343693,177.36023809523797,122.17511904761889,95.74507812500008
2007-12-11,188.54,-0.02962986186935583,177.98666666666654,122.57305555555541,95.97726562500007
2007-12-12,190.86,0.012229989021103666,178.5488095238094,122.97825396825382,96.21703125000008
2007-12-13,191.83,0.0050693881591387215,179.14047619047608,123.3976587301586,96.45923828125008
2007-12-14,190.39,-0.007534963178661482,179.63595238095226,123.79980158730146,96.69125000000008
2007-12-17,184.4,-0.03196728884709151,179.9133333333332,124.18015873015861,96.90955078125009
2007-12-18,182.98,-0.00773045387110439,180.1390476190475,124.55817460317448,97.1266601562501
2007-12-19,183.12,0.0007648183929220497,180.44142857142845,124.94567460317447,97.3396875000001
2007-12-20,187.21,0.022089305775865802,180.74738095238084,125.34607142857128,97.5608984375001
2007-12-21,193.91,0.03516315247434954,180.93190476190463,125.7792063492062,97.7949414062501
2007-12-24,198.8,0.024905160327947085,181.2383333333332,126.23912698412683,98.0380468750001
2007-12-26,198.95,0.0007542426504639742,181.62333333333322,126.70242063492049,98.2803125000001
2007-12-27,198.57,-0.001911854073996482,181.9535714285713,127.1669444444443,98.52169921875009
2007-12-28,199.83,0.0063253222942567635,182.3045238095237,127.63642857142843,98.77134765625009
2007-12-31,198.08,-0.008796015596966494,182.56833333333321,128.1015476190475,99.01724609375009
2008-01-02,194.84,-0.016492280557889406,182.68476190476179,128.53805555555542,99.25890625000008
2008-01-03,194.93,0.00046181081971169565,182.86309523809513,128.9790476190475,99.50021484375009
2008-01-04,180.05,-0.07940592966316935,182.67690476190467,129.35361111111098,99.71103515625009
2008-01-07,177.64,-0.01347555967098288,182.47357142857132,129.72103174603163,99.91443359375009
2008-01-08,171.25,-0.03663455328156683,181.98452380952372,130.06142857142845,100.1043359375001
2008-01-09,179.4,0.046493472482361145,181.82023809523798,130.40599206349194,100.3114648437501
2008-01-10,178.02,-0.007722046093910278,181.88095238095227,130.72749999999985,100.51417968750009
2008-01-11,172.69,-0.030397823934206838,182.05523809523797,131.0326190476189,100.7077734375001
2008-01-14,178.78,0.0346579200631279,182.65095238095225,131.36658730158715,100.9174023437501
2008-01-15,169.04,-0.05602062635190529,182.6290476190475,131.65206349206335,101.1071484375001
2008-01-16,159.64,-0.05721409312726818,182.47499999999988,131.9087698412697,101.2729492187501
2008-01-17,160.89,0.007799621482410303,182.3938095238094,132.1937698412697,101.4407617187501
2008-01-18,161.36,0.0029169919830130428,182.2740476190475,132.4828968253967,101.6106445312501
2008-01-22,155.64,-0.0360922455296037,182.07619047619036,132.75611111111098,101.7656054687501
2008-01-23,139.07,-0.11256824462583334,181.36714285714274,132.9678968253967,101.88869140625009
2008-01-24,135.6,-0.02526802798422425,180.5847619047618,133.16194444444432,101.99560546875009
2008-01-25,130.01,-0.04209800493221784,179.59595238095227,133.33559523809512,102.08566406250009
2008-01-28,130.01,0.0,178.58333333333323,133.5126984126983,102.17496093750009
2008-01-29,131.54,0.011699617299127583,177.55309523809512,133.69365079365068,102.2647070312501
2008-01-30,132.18,0.004853642169101949,176.4092857142856,133.87869047619037,102.3574218750001
2008-01-31,135.36,0.023773265815606494,175.24428571428558,134.0756349206348,102.4606835937501
2008-02-01,133.75,-0.01196551008179731,174.09023809523796,134.27011904761892,102.5675390625001
2008-02-04,131.65,-0.015825499833797486,172.96619047619035,134.45623015873005,102.67605468750011
2008-02-05,129.36,-0.017547670673466978,171.76499999999984,134.63646825396813,102.77701171875012
2008-02-06,122.0,-0.058578170535594956,170.25309523809509,134.78666666666655,102.86677734375012
2008-02-07,121.24,-0.006248992543654144,168.6171428571427,134.92591269841256,102.95865234375012
2008-02-08,125.48,0.0343743311328751,166.97857142857126,135.08186507936495,103.06246093750012
2008-02-11,129.45,0.03114832287506911,165.4366666666665,135.26511904761892,103.17460937500012
2008-02-12,124.86,-0.03610159656394844,163.92047619047602,135.42376984126972,103.27199218750012
2008-02-13,129.4,0.03571527243320223,162.45714285714268,135.6011507936507,103.37724609375012
2008-02-14,127.46,-0.015105792180652243,160.92452380952363,135.76845238095228,103.47888671875012
2008-02-15,124.63,-0.02245324204786259,159.35880952380936,135.92488095238085,103.58148437500012
2008-02-19,122.18,-0.019853980616664563,157.87738095238078,136.0730952380951,103.67978515625012
2008-02-20,123.82,0.013333530869465168,156.46880952380937,136.2235714285713,103.79017578125011
2008-02-21,121.54,-0.01858547138387684,155.00261904761888,136.35190476190465,103.89552734375012
2008-02-22,119.46,-0.017261839403049345,153.38952380952364,136.47075396825383,103.99445312500012
2008-02-25,119.74,0.002341138193045977,151.62357142857127,136.5924603174602,104.10146484375012
2008-02-26,119.15,-0.004939521952454796,149.7271428571427,136.71404761904748,104.20271484375013
2008-02-27,122.96,0.03147589568558909,147.91785714285697,136.86892857142843,104.31648437500013
2008-02-28,129.91,0.05498280377730118,146.2830952380951,137.04869047619036,104.43810546875014
2008-02-29,125.02,-0.0383681785039752,144.5019047619046,137.19932539682526,104.54708984375013
2008-03-03,121.73,-0.026668247082161294,142.68404761904745,137.34345238095224,104.64701171875014
2008-03-04,124.62,0.023463629694571057,141.0121428571427,137.49543650793638,104.75312500000014
2008-03-05,124.49,-0.0010437157223814287,139.3349999999998,137.639484126984,104.86134765625013
2008-03-06,120.93,-0.029013525596510333,137.9273809523808,137.77126984126969,104.95824218750013
2008-03-07,122.25,0.0108562625577973,136.60857142857125,137.9071825396824,105.05687500000013
2008-03-10,119.69,-0.021163061469702333,135.38095238095218,138.03305555555542,105.15107421875014
2008-03-11,127.35,0.06203413454018684,134.14166666666648,138.18178571428555,105.26115234375014
2008-03-12,126.03,-0.01041922757606557,132.90380952380934,138.33111111111094,105.37353515625014
2008-03-13,127.94,0.015041430172591162,131.83833333333314,138.4816666666665,105.48845703125015
2008-03-14,126.61,-0.010449908489829764,130.5961904761903,138.62865079365065,105.59978515625015
2008-03-17,126.73,0.0009473435618110235,129.58880952380932,138.77603174603163,105.71503906250015
2008-03-18,132.82,0.04693598901859476,128.95023809523786,138.94146825396814,105.84656250000015
2008-03-19,129.67,-0.02400206655177471,128.20690476190453,139.09301587301573,105.97031250000015
2008-03-20,133.27,0.027384384030842927,127.53809523809502,139.24936507936494,106.10236328125013
2008-03-24,139.53,0.04590248631247965,127.15452380952358,139.43019841269825,106.25001953125013
2008-03-25,140.98,0.010338404441614034,127.19999999999978,139.6185317460316,106.40195312500013
2008-03-26,145.06,0.028529413589536833,127.42523809523787,139.8138095238094,106.55699218750013
2008-03-27,140.25,-0.033720905532460634,127.66904761904739,139.99154761904748,106.69943359375013
2008-03-28,143.01,0.019488013482038165,127.9785714285712,140.1890476190475,106.84939453125013
2008-03-31,143.5,0.003420477314831979,128.2633333333331,140.38646825396813,107.00406250000013
2008-04-01,149.53,0.04116200639607653,128.67642857142832,140.61115079365067,107.16982421875012
2008-04-02,147.49,-0.013736664724341301,128.96523809523785,140.82480158730144,107.33291015625012
2008-04-03,151.61,0.0275510572220793,129.39047619047594,141.05142857142843,107.50830078125013
2008-04-04,153.08,0.009649226464011135,129.90071428571406,141.28480158730147,107.68683593750013
2008-04-07,155.89,0.018189969767087845,130.53238095238072,141.52769841269827,107.87380859375013
2008-04-08,152.84,-0.01975900774589021,131.26666666666645,141.7625793650792,108.05521484375012
2008-04-09,151.44,-0.009202115677631875,131.98571428571407,141.98952380952366,108.23476562500012
2008-04-10,154.55,0.02032816167705806,132.67785714285694,142.23539682539672,108.42195312500013
2008-04-11,147.14,-0.04913315407400711,133.0990476190474,142.45345238095226,108.58759765625013
2008-04-14,147.78,0.004340166856383198,133.6447619047617,142.68178571428558,108.75367187500012
2008-04-15,148.38,0.004051869400878319,134.0966666666665,142.90777777777765,108.92097656250012
2008-04-16,153.7,0.03522609978317021,134.7214285714284,143.15916666666652,109.0988085937501
2008-04-17,154.49,0.005126718779408193,135.43238095238075,143.4134920634919,109.2810742187501
2008-04-18,161.04,0.041523412007577684,136.35761904761884,143.69432539682526,109.46433593750011
2008-04-21,168.16,0.04326312579710488,137.41333333333313,144.00063492063478,109.65363281250012
2008-04-22,160.2,-0.04849287249438215,138.33380952380932,144.26527777777764,109.83021484375011
2008-04-23,162.89,0.01665209173525483,139.36785714285693,144.54166666666652,110.01423828125012
2008-04-24,168.94,0.03646849592983698,140.5392857142855,144.83369047619036,110.21140625000012
2008-04-25,169.73,0.004665316874089317,141.74357142857122,145.1149999999999,110.41261718750013
2008-04-28,172.24,0.014679913882667681,142.91690476190456,145.40198412698402,110.61919921875013
2008-04-29,175.05,0.016182794344567035,143.99166666666648,145.70059523809513,110.83451171875014
2008-04-30,173.95,-0.006303745802723719,145.15666666666644,145.99615079365068,111.04492187500013
2008-05-01,180.0,0.03418894929225945,146.5440476190474,146.31206349206337,111.26826171875013
2008-05-02,180.94,0.005208633707385206,147.8849999999998,146.63166666666655,111.48957031250013
2008-05-05,184.73,0.020729814972950424,149.31928571428548,146.96468253968246,111.71943359375014
2008-05-06,186.66,0.01039348056705459,150.88428571428548,147.2930158730158,111.95558593750015
2008-05-07,182.59,-0.022045577988959016,152.32095238095215,147.60067460317453,112.18296875000014
2008-05-08,185.06,0.013436894672242647,153.87738095238075,147.91091269841263,112.41130859375014
2008-05-09,183.45,-0.008737946019593197,155.213095238095,148.21293650793643,112.63414062500013
2008-05-12,188.16,0.025350513908971157,156.69238095238074,148.52809523809518,112.86416015625014
2008-05-13,189.96,0.009520858970659036,158.1690476190474,148.84793650793645,113.09923828125014
2008-05-14,186.26,-0.01966997658740941,159.58928571428552,149.1603968253968,113.32314453125014
2008-05-15,189.73,0.018458461782530418,161.08928571428552,149.48734126984127,113.55476562500014
2008-05-16,187.62,-0.011183368178237257,162.39404761904743,149.79757936507934,113.78228515625015
2008-05-19,183.6,-0.021659162511414917,163.67809523809507,150.0895634920635,114.00046875000015
2008-05-20,185.9,0.012449416541008273,164.93119047619027,150.3828968253968,114.22314453125016
2008-05-21,178.19,-0.04235849798807503,165.85166666666646,150.63944444444445,114.43244140625016
2008-05-22,177.05,-0.006418218181410513,166.710476190476,150.89404761904763,114.64035156250017
2008-05-23,181.17,0.023003638430006634,167.5702380952379,151.17373015873017,114.86109375000017
2008-05-27,186.43,0.02862001651945066,168.6697619047617,151.46265873015872,115.09298828125017
2008-05-28,187.01,0.003106257853258342,169.71738095238075,151.75099206349208,115.32583984375017
2008-05-29,186.69,-0.0017126041113923452,170.7457142857141,152.02051587301588,115.56355468750017
2008-05-30,188.75,0.010973900879897813,171.6795238095236,152.28861111111112,115.80474609375017
2008-06-02,186.1,-0.014139224480929021,172.59880952380934,152.5572619047619,116.04482421875016
2008-06-03,185.37,-0.003930335907207132,173.40261904761888,152.8113888888889,116.28087890625017
2008-06-04,185.19,-0.0009715026670836866,174.16714285714266,153.05948412698416,116.51878906250018
2008-06-05,189.43,0.02263723806627329,174.9657142857141,153.3205555555556,116.76542968750017
2008-06-06,185.64,-0.020210248767212422,175.7466666666665,153.56488095238097,117.00429687500018
2008-06-09,181.61,-0.021947783642567685,176.46499999999983,153.79154761904766,117.23335937500018
2008-06-10,185.64,0.02194778364256774,177.20523809523792,154.05126984126986,117.47181640625017
2008-06-11,180.81,-0.02636255820991254,178.0069047619046,154.29107142857146,117.70539062500016
2008-06-12,173.26,-0.04265339970106824,178.61357142857128,154.5123412698413,117.92705078125017
2008-06-13,172.37,-0.005150027295694114,179.18476190476173,154.7251190476191,118.14228515625018
2008-06-16,176.84,0.025602039791742463,179.73571428571412,154.9486904761905,118.36724609375017
2008-06-17,181.43,0.025624535424029392,180.3771428571427,155.17226190476194,118.60441406250017
2008-06-18,178.75,-0.014881722807954766,180.79880952380938,155.39087301587304,118.83689453125017
2008-06-19,180.9,0.011956210827132507,181.1021428571427,155.62638888888893,119.07583984375017
2008-06-20,175.27,-0.031616750316164816,181.46095238095225,155.8302380952381,119.29949218750016
2008-06-23,173.16,-0.012111619511304924,181.70547619047605,156.02928571428572,119.52199218750017
2008-06-24,173.25,0.0005196154962327853,181.8080952380951,156.23130952380956,119.74904296875017
2008-06-25,177.39,0.02361506043083557,181.99047619047607,156.46043650793652,119.98158203125017
2008-06-26,168.26,-0.05284029637818067,181.89571428571418,156.64444444444447,120.19769531250017
2008-06-27,170.09,0.01081730660333286,181.77761904761894,156.84099206349208,120.41392578125017
2008-06-30,167.44,-0.015702630588256015,181.62261904761894,157.02115079365083,120.62853515625018
2008-07-01,174.68,0.04233065047961605,181.49595238095228,157.23313492063494,120.85798828125019
2008-07-02,168.18,-0.037920894212608344,181.19214285714276,157.39587301587306,121.07421875000018
2008-07-03,170.12,0.0114692359806808,180.84428571428563,157.5441666666667,121.29347656250019
2008-07-07,175.16,0.029195771547764784,180.5704761904761,157.7142460317461,121.51921875000019
2008-07-08,179.55,0.024753878738894328,180.49809523809515,157.90956349206354,121.7550000000002
2008-07-09,174.25,-0.029962671031458693,180.2407142857142,158.0758333333334,121.9801171875002
2008-07-10,176.63,0.013566099526718852,180.07833333333323,158.25138888888895,122.21292968750019
2008-07-11,172.58,-0.023196252087190502,179.70738095238087,158.40420634920642,122.4405859375002
2008-07-14,173.88,0.007504509040429742,179.32452380952373,158.54765873015876,122.6650195312502
2008-07-15,169.64,-0.02468686151420137,178.92880952380943,158.6728174603175,122.8844921875002
2008-07-16,172.81,0.018514180459510553,178.52595238095233,158.8073412698413,123.1088281250002
2008-07-17,171.81,-0.005803509992024704,178.14952380952377,158.94103174603174,123.3330664062502
2008-07-18,165.15,-0.03953506323707698,177.71023809523803,159.04083333333332,123.5466992187502
2008-07-21,166.29,0.006879100263024229,177.24333333333328,159.1302777777778,123.7632812500002
2008-07-22,162.02,-0.026013467697477716,176.8583333333333,159.2029761904762,123.9723046875002
2008-07-23,166.26,0.025833043700596667,176.60142857142853,159.32746031746032,124.1883398437502
2008-07-24,159.03,-0.04445996443511763,176.07428571428568,159.4138492063492,124.3955078125002
2008-07-25,162.12,0.019243938092283457,175.49547619047613,159.47781746031748,124.6100976562502
2008-07-28,154.4,-0.048790164169431945,174.71904761904756,159.51968253968258,124.81269531250021
2008-07-29,157.08,0.01720859211913305,174.01404761904755,159.58178571428576,125.01720703125021
2008-07-30,159.88,0.017668304133313897,173.3266666666666,159.69337301587302,125.2261523437502
2008-07-31,158.95,-0.005833846486311156,172.68023809523802,159.7884126984127,125.4309375000002
2008-08-01,156.66,-0.01451183541771919,171.99666666666658,159.8684523809524,125.6187500000002
2008-08-04,153.23,-0.022137791349007695,171.2357142857142,159.95329365079368,125.79943359375021
2008-08-05,160.64,0.04722577591327946,170.55023809523803,160.05404761904765,125.99322265625021
2008-08-06,164.19,0.021858457320572205,170.03952380952373,160.16976190476197,126.19294921875021
2008-08-07,163.57,-0.0037832605535022203,169.6099999999999,160.28706349206354,126.38767578125021
2008-08-08,169.55,0.03590683530121349,169.22690476190468,160.4583333333334,126.59500000000021
2008-08-11,173.56,0.023375492358502337,169.0542857142856,160.6510317460318,126.80587890625021
2008-08-12,176.73,0.01809978327155573,169.13690476190465,160.84523809523816,127.01832031250022
2008-08-13,179.3,0.014437236409381552,169.30190476190467,161.06456349206357,127.23730468750023
2008-08-14,179.32,0.00011153867615155138,169.36095238095226,161.30035714285722,127.45441406250022
2008-08-15,175.74,-0.020166289219541493,169.22547619047606,161.533253968254,127.66173828125022
2008-08-18,175.39,-0.001993564297650753,169.14547619047607,161.744880952381,127.87089843750022
2008-08-19,173.53,-0.010661570667633968,168.96999999999989,161.9484920634921,128.0785546875002
2008-08-20,175.84,0.013223995552898818,168.9835714285713,162.1400396825397,128.2954687500002
2008-08-21,174.29,-0.008853912121721038,169.01047619047608,162.30583333333337,128.5116796875002
